Geographic area,Population,Housing units,Total area in square miles,Water area in square miles,Land area in square miles,Population density per square mile of land area,Housing units density per square mile of land area
Franklin County,"1,163,414","527,186",543.51,11.32,532.19,"2,186.10",990.6
Census Tract 1.10,"3,344","1,817",0.76,0,0.76,"4,415.20","2,399.10"
Census Tract 1.20,"3,162","1,586",1.11,0,1.11,"2,854.40","1,431.70"
Census Tract 2.10,"2,935","1,469",0.66,0,0.66,"4,454.10","2,229.30"
Census Tract 2.20,"3,727","1,683",0.75,0,0.75,"4,962.20","2,240.80"
Census Tract 3.10,"3,147","1,561",0.72,0,0.72,"4,396.90","2,181.00"
Census Tract 3.20,"2,390","1,102",0.49,0,0.49,"4,852.40","2,237.40"
Census Tract 3.30,"2,314","1,139",0.31,0,0.31,"7,530.80","3,706.80"
Census Tract 4.10,"2,419","1,303",0.3,0,0.3,"8,089.80","4,357.60"
Census Tract 4.20,"3,139","1,602",0.57,0,0.57,"5,551.10","2,833.00"
Census Tract 5,"4,057","2,201",0.49,0,0.49,"8,346.70","4,528.20"
Census Tract 6,"3,780","2,052",0.38,0,0.38,"9,994.20","5,425.40"
Census Tract 7.10,"3,102","1,488",0.51,0,0.51,"6,133.90","2,942.40"
Census Tract 7.20,"2,384","1,165",0.84,0,0.84,"2,823.80","1,379.90"
Census Tract 7.30,"3,090","1,710",0.4,0,0.4,"7,673.70","4,246.60"
Census Tract 8.10,"2,540","1,144",0.38,0,0.38,"6,616.20","2,979.90"
Census Tract 8.20,"3,121","1,539",0.56,0,0.56,"5,585.60","2,754.30"
Census Tract 9.10,"3,409","1,574",0.5,0,0.5,"6,884.30","3,178.60"
Census Tract 9.20,"2,069","1,059",0.35,0,0.35,"5,852.70","2,995.70"
Census Tract 10,"5,830","2,535",0.35,0,0.35,"16,893.50","7,345.60"
Census Tract 11.10,"3,688","1,455",0.21,0,0.21,"17,864.90","7,048.10"
Census Tract 11.21,"7,300",99,0.35,0,0.35,"20,975.20",284.5
Census Tract 11.22,"3,159",886,2.41,0.09,2.31,"1,365.70",383
Census Tract 12,"4,822","1,785",0.26,0,0.26,"18,606.90","6,887.90"
Census Tract 13,"6,583","2,364",0.26,0,0.26,"24,925.70","8,951.00"
Census Tract 14,"1,543",767,0.72,0,0.72,"2,154.60","1,071.00"
Census Tract 15,"2,031",876,0.51,0,0.51,"4,008.80","1,729.10"
Census Tract 16,"1,682",924,0.19,0,0.19,"8,887.20","4,882.10"
Census Tract 17,"2,704","1,435",0.2,0,0.2,"13,647.70","7,242.80"
Census Tract 18.10,"4,434","1,949",0.15,0,0.15,"29,072.00","12,778.80"
Census Tract 18.20,"2,598","1,525",0.34,0,0.34,"7,699.70","4,519.70"
Census Tract 19.01,"2,031","1,445",0.69,0.04,0.65,"3,146.70","2,238.80"
Census Tract 19.02,"3,410","2,566",0.42,0,0.42,"8,167.80","6,146.20"
Census Tract 20,"3,252","1,882",0.27,0,0.27,"12,108.80","7,007.60"
Census Tract 21,"1,808","1,265",0.2,0,0.2,"8,978.70","6,282.10"
Census Tract 22,"1,851","1,181",0.27,0,0.27,"6,861.40","4,377.80"
Census Tract 23,"1,453",838,0.99,0,0.99,"1,462.50",843.5
Census Tract 25.10,"2,856","1,351",1.91,0.01,1.91,"1,498.60",708.9
Census Tract 25.20,"2,648","1,608",0.62,0.01,0.61,"4,366.60","2,651.60"
Census Tract 26,"4,028","1,927",1.39,0.01,1.38,"2,911.70","1,393.00"
Census Tract 27.10,"1,858","1,150",0.33,0,0.33,"5,664.00","3,505.70"
Census Tract 27.30,"2,104","1,114",0.37,0,0.37,"5,749.20","3,044.00"
Census Tract 27.40,"2,316","1,085",0.54,0,0.54,"4,257.20","1,994.40"
Census Tract 27.50,"2,349","1,087",0.37,0,0.37,"6,292.30","2,911.80"
Census Tract 27.60,"3,066","1,783",0.5,0,0.5,"6,129.30","3,564.40"
Census Tract 27.70,"1,995","1,022",0.36,0,0.36,"5,523.60","2,829.60"
Census Tract 27.80,"2,423","1,196",0.68,0.02,0.66,"3,661.80","1,807.50"
Census Tract 28,"2,629","1,619",0.44,0,0.44,"5,966.40","3,674.20"
Census Tract 29,"2,368","1,426",0.32,0,0.32,"7,413.10","4,464.10"
Census Tract 30,"3,105","1,911",1.6,0.01,1.59,"1,958.50","1,205.40"
Census Tract 32,"2,147","1,480",0.63,0.05,0.59,"3,667.40","2,528.10"
Census Tract 36,"1,442",959,0.27,0,0.27,"5,414.40","3,600.90"
Census Tract 37,"3,303","1,977",0.82,0.02,0.81,"4,091.20","2,448.80"
Census Tract 38,"1,896","1,271",0.28,0,0.28,"6,746.90","4,522.80"
Census Tract 40,"2,941","2,552",0.91,0.04,0.87,"3,387.10","2,939.10"
Census Tract 42,"1,370",546,0.54,0.09,0.45,"3,036.10","1,210.00"
Census Tract 43,"5,613","3,277",2.47,0.52,1.96,"2,870.20","1,675.70"
Census Tract 45,"5,154","2,105",0.98,0,0.98,"5,265.60","2,150.60"
Census Tract 46.10,"3,368","1,608",0.58,0,0.57,"5,861.90","2,798.70"
Census Tract 46.20,"2,659","1,106",0.29,0,0.29,"9,309.00","3,872.00"
Census Tract 47,"4,971","2,174",0.51,0,0.51,"9,699.30","4,241.90"
Census Tract 48.10,"2,891","1,238",0.31,0,0.31,"9,478.00","4,058.70"
Census Tract 48.20,"2,589","1,146",0.33,0,0.33,"7,924.10","3,507.50"
Census Tract 49,"5,651","2,630",0.94,0,0.94,"6,010.80","2,797.50"
Census Tract 50,"5,205","2,574",0.82,0,0.82,"6,339.30","3,135.00"
Census Tract 51,"1,928",804,1.63,0.09,1.54,"1,249.40",521
Census Tract 52,"2,584","1,782",0.34,0,0.34,"7,616.80","5,252.70"
Census Tract 53,"3,054","1,558",0.57,0,0.57,"5,399.70","2,754.60"
Census Tract 54.10,"1,362",880,0.39,0,0.39,"3,508.30","2,266.80"
Census Tract 54.20,"2,151","1,148",0.36,0,0.36,"5,907.60","3,152.90"
Census Tract 55,"4,228","2,324",0.57,0,0.57,"7,395.00","4,064.80"
Census Tract 56.10,"1,784",985,0.24,0,0.24,"7,308.70","4,035.30"
Census Tract 56.20,"2,542","1,207",0.28,0,0.28,"9,075.70","4,309.30"
Census Tract 57,"3,629","2,325",0.88,0.08,0.8,"4,562.70","2,923.20"
Census Tract 58.10,"2,548","1,500",0.37,0.02,0.36,"7,159.10","4,214.60"
Census Tract 58.20,"2,230","1,190",0.29,0,0.29,"7,575.80","4,042.70"
Census Tract 59,"2,546","1,229",0.3,0,0.3,"8,445.20","4,076.70"
Census Tract 60,"2,345","1,021",0.37,0,0.37,"6,270.90","2,730.30"
Census Tract 61,"2,398","1,323",0.41,0,0.41,"5,885.80","3,247.30"
Census Tract 62.20,"6,527","3,361",3.77,0.19,3.58,"1,822.50",938.5
Census Tract 62.30,"13,127","6,226",11.83,0.06,11.76,"1,115.90",529.3
Census Tract 62.36,"5,979","2,011",2.6,0.1,2.5,"2,387.20",802.9
Census Tract 63.10,"4,439","1,808",1.68,0.06,1.62,"2,745.10","1,118.10"
Census Tract 63.21,"4,086","1,725",1.69,0.01,1.67,"2,441.60","1,030.80"
Census Tract 63.23,"3,318","1,581",0.92,0,0.92,"3,588.80","1,710.00"
Census Tract 63.30,"4,716","2,141",1.16,0.06,1.1,"4,291.50","1,948.30"
Census Tract 63.40,"3,105","1,331",1.31,0.04,1.27,"2,454.30","1,052.10"
Census Tract 63.51,"3,789","1,933",0.89,0.01,0.88,"4,301.30","2,194.40"
Census Tract 63.52,"2,985","1,847",0.32,0,0.32,"9,388.10","5,809.00"
Census Tract 63.53,"4,462","2,548",0.68,0,0.68,"6,601.30","3,769.60"
Census Tract 63.71,"6,472","2,851",1.47,0.06,1.41,"4,581.30","2,018.10"
